Date,Description,Amount,Category,Month,Month_Num,Year,Type
2024-01-18,IndiGo Airlines,2616.47,Travel,January 2024,1,2024,Debit
2024-01-19,Ola,12.79,Transport,January 2024,1,2024,Debit
2024-01-20,Domino's,317.23,Food & Dining,January 2024,1,2024,Debit
2024-01-20,KFC,421.11,Food & Dining,January 2024,1,2024,Debit
2024-01-21,McDonald's,127.62,Food & Dining,January 2024,1,2024,Debit
2024-01-22,Swiggy,291.32,Food & Dining,January 2024,1,2024,Debit
2024-01-22,Cafe Coffee Day,233.82,Food & Dining,January 2024,1,2024,Debit
2024-01-24,McDonald's,413.78,Food & Dining,January 2024,1,2024,Debit
2024-01-24,Cafe Coffee Day,345.11,Food & Dining,January 2024,1,2024,Debit
2024-01-25,Udemy,217.08,Education,January 2024,1,2024,Debit
2024-01-26,BookmyShow,490.23,Entertainment,January 2024,1,2024,Debit
2024-01-26,Auto Rickshaw,133.79,Transport,January 2024,1,2024,Debit
2024-01-26,PVR Cinemas,62.65,Entertainment,January 2024,1,2024,Debit
2024-01-26,Bus Pass,211.62,Transport,January 2024,1,2024,Debit
2024-01-27,Swiggy,172.51,Food & Dining,January 2024,1,2024,Debit
2024-01-27,Uber,377.01,Transport,January 2024,1,2024,Debit
2024-01-27,PVR Cinemas,318.09,Entertainment,January 2024,1,2024,Debit
2024-01-27,Unacademy,921.19,Education,January 2024,1,2024,Debit
2024-01-28,JIO Boardband,2922.99,Bills & Rent,January 2024,1,2024,Debit
2024-01-28,McDonald's,540.07,Food & Dining,January 2024,1,2024,Debit
2024-01-28,Gym Membership,965.95,Health,January 2024,1,2024,Debit
2024-01-28,Flipkart,485.63,Shopping,January 2024,1,2024,Debit
2024-02-01,Ajio,768.24,Shopping,February 2024,2,2024,Debit
2024-02-01,Blinkit,355.62,Food & Dining,February 2024,2,2024,Debit
2024-02-01,Airtel,2214.85,Bills & Rent,February 2024,2,2024,Debit
2024-02-01,Bus Pass,179.42,Transport,February 2024,2,2024,Debit
2024-02-01,Society Maintenance,2369.53,Bills & Rent,February 2024,2,2024,Debit
2024-02-02,YouTube Premium,129.95,Entertainment,February 2024,2,2024,Debit
2024-02-03,House Rent,1333.46,Bills & Rent,February 2024,2,2024,Debit
2024-02-03,Society Maintenance,2863.68,Bills & Rent,February 2024,2,2024,Debit
2024-02-03,Gas Bill,2493.05,Bills & Rent,February 2024,2,2024,Debit
2024-02-03,Uber,145.74,Transport,February 2024,2,2024,Debit
2024-02-03,Domino's,110.58,Food & Dining,February 2024,2,2024,Debit
2024-02-05,Luxury Purchase,28000.0,Shopping,February 2024,2,2024,Debit
2024-02-05,MakeMyTrip,155.3,Transport,February 2024,2,2024,Debit
2024-02-05,McDonald's,631.04,Food & Dining,February 2024,2,2024,Debit
2024-02-06,Blinkit,504.63,Food & Dining,February 2024,2,2024,Debit
2024-02-06,Ajio,702.1,Shopping,February 2024,2,2024,Debit
2024-02-07,Zomato,167.06,Food & Dining,February 2024,2,2024,Debit
2024-02-07,Blinkit,457.27,Food & Dining,February 2024,2,2024,Debit
2024-02-08,Uber,230.94,Transport,February 2024,2,2024,Debit
2024-02-08,Swiggy,272.35,Food & Dining,February 2024,2,2024,Debit
2024-02-08,PVR Cinemas,316.15,Entertainment,February 2024,2,2024,Debit
2024-02-09,Cult.fit,824.31,Health,February 2024,2,2024,Debit
2024-02-09,IRCTC,236.86,Transport,February 2024,2,2024,Debit
2024-02-10,Zomato,512.7,Food & Dining,February 2024,2,2024,Debit
2024-02-10,Apollo Pharmacy,743.11,Health,February 2024,2,2024,Debit
2024-02-11,Bus Pass,282.48,Transport,February 2024,2,2024,Debit
2024-02-16,Swiggy,103.83,Food & Dining,February 2024,2,2024,Debit
2024-02-16,Bus Pass,78.41,Transport,February 2024,2,2024,Debit
2024-02-16,Blinkit,628.47,Food & Dining,February 2024,2,2024,Debit
2024-02-16,Myntra,1126.42,Shopping,February 2024,2,2024,Debit
2024-02-17,IRCTC,141.06,Transport,February 2024,2,2024,Debit
2024-02-18,KFC,172.9,Food & Dining,February 2024,2,2024,Debit
2024-02-19,Flipkart,833.2,Shopping,February 2024,2,2024,Debit
2024-02-19,Domino's,159.71,Food & Dining,February 2024,2,2024,Debit
2024-02-20,Bus Pass,134.0,Transport,February 2024,2,2024,Debit
2024-02-21,H&M,899.26,Shopping,February 2024,2,2024,Debit
2024-02-21,Gas Bill,2614.36,Bills & Rent,February 2024,2,2024,Debit
2024-02-22,Yoga Studio,48.93,Health,February 2024,2,2024,Debit
2024-02-22,H&M,693.26,Shopping,February 2024,2,2024,Debit
2024-02-23,KFC,194.93,Food & Dining,February 2024,2,2024,Debit
2024-02-23,Domino's,646.07,Food & Dining,February 2024,2,2024,Debit
2024-02-24,YouTube Premium,558.78,Entertainment,February 2024,2,2024,Debit
2024-02-24,IRCTC,307.84,Transport,February 2024,2,2024,Debit
2024-02-25,Bus Pass,403.89,Transport,February 2024,2,2024,Debit
2024-02-25,Rapido,394.63,Transport,February 2024,2,2024,Debit
2024-02-25,LinkedIn Learning,280.11,Education,February 2024,2,2024,Debit
2024-02-25,Unacademy,558.6,Education,February 2024,2,2024,Debit
2024-02-25,Spotify,674.08,Entertainment,February 2024,2,2024,Debit
2024-02-26,Cult.fit,224.87,Health,February 2024,2,2024,Debit
2024-02-27,KFC,493.63,Food & Dining,February 2024,2,2024,Debit
2024-02-27,Myntra,912.86,Shopping,February 2024,2,2024,Debit
2024-02-27,Rapido,107.83,Transport,February 2024,2,2024,Debit
2024-03-02,Water Bill,3585.37,Bills & Rent,March 2024,3,2024,Debit
2024-03-02,JIO Boardband,3181.75,Bills & Rent,March 2024,3,2024,Debit
2024-03-02,Petrol Pump,10.0,Transport,March 2024,3,2024,Debit
2024-03-02,Subway,316.94,Food & Dining,March 2024,3,2024,Debit
2024-03-03,BookmyShow,225.16,Entertainment,March 2024,3,2024,Debit
2024-03-05,Udemy,935.77,Education,March 2024,3,2024,Debit
2024-03-06,IRCTC,20.78,Transport,March 2024,3,2024,Debit
2024-03-06,Uber,393.75,Transport,March 2024,3,2024,Debit
2024-03-06,Swiggy,567.79,Food & Dining,March 2024,3,2024,Debit
2024-03-06,Hotel Booking,5028.96,Travel,March 2024,3,2024,Debit
2024-03-06,Ajio,890.71,Shopping,March 2024,3,2024,Debit
2024-03-07,KFC,359.11,Food & Dining,March 2024,3,2024,Debit
2024-03-08,Ajio,742.25,Shopping,March 2024,3,2024,Debit
2024-03-08,Medplus,1112.77,Health,March 2024,3,2024,Debit
2024-03-08,Domino's,485.92,Food & Dining,March 2024,3,2024,Debit
2024-03-08,Bus Pass,249.35,Transport,March 2024,3,2024,Debit
2024-03-09,MakeMyTrip,202.06,Transport,March 2024,3,2024,Debit
2024-03-09,BookmyShow,679.22,Entertainment,March 2024,3,2024,Debit
2024-03-09,Cafe Coffee Day,206.94,Food & Dining,March 2024,3,2024,Debit
2024-03-10,NPTEL,648.38,Education,March 2024,3,2024,Debit
2024-03-11,D-Mart,800.22,Shopping,March 2024,3,2024,Debit
2024-03-11,Foreign Transaction,15000.0,Travel,March 2024,3,2024,Debit
2024-03-13,McDonald's,212.56,Food & Dining,March 2024,3,2024,Debit
2024-03-13,PVR Cinemas,179.23,Entertainment,March 2024,3,2024,Debit
2024-03-17,Electricity Board,2619.44,Bills & Rent,March 2024,3,2024,Debit
2024-03-17,Uber,138.82,Transport,March 2024,3,2024,Debit
2024-03-17,Ajio,1024.64,Shopping,March 2024,3,2024,Debit
2024-03-18,Udemy,315.43,Education,March 2024,3,2024,Debit
2024-03-20,Ola,151.51,Transport,March 2024,3,2024,Debit
2024-03-20,Electricity Board,2767.77,Bills & Rent,March 2024,3,2024,Debit
2024-03-20,Amazon Prime,14.07,Entertainment,March 2024,3,2024,Debit
2024-03-21,Ola,23.05,Transport,March 2024,3,2024,Debit
2024-03-22,Book Store,515.22,Education,March 2024,3,2024,Debit
2024-03-23,Zomato,258.99,Food & Dining,March 2024,3,2024,Debit
2024-03-23,Subway,167.32,Food & Dining,March 2024,3,2024,Debit
2024-03-24,Blinkit,363.67,Food & Dining,March 2024,3,2024,Debit
2024-03-24,Bus Pass,101.81,Transport,March 2024,3,2024,Debit
2024-03-24,Flipkart,548.74,Shopping,March 2024,3,2024,Debit
2024-03-24,KFC,268.12,Food & Dining,March 2024,3,2024,Debit
2024-03-24,Ola,58.87,Transport,March 2024,3,2024,Debit
2024-03-25,Electricity Board,2949.46,Bills & Rent,March 2024,3,2024,Debit
2024-03-25,Hotel Booking,4265.6,Travel,March 2024,3,2024,Debit
2024-03-27,Bus Pass,401.25,Transport,March 2024,3,2024,Debit
2024-03-27,Spotify,118.76,Entertainment,March 2024,3,2024,Debit
2024-03-27,Dr Reddy's,980.8,Health,March 2024,3,2024,Debit
2024-03-27,Domino's,255.61,Food & Dining,March 2024,3,2024,Debit
2024-03-27,Ola,98.71,Transport,March 2024,3,2024,Debit
2024-03-28,House Rent,2139.87,Bills & Rent,March 2024,3,2024,Debit
2024-04-01,H&M,698.7,Shopping,April 2024,4,2024,Debit
2024-04-02,Auto Rickshaw,318.52,Transport,April 2024,4,2024,Debit
2024-04-02,Coursera,19.09,Education,April 2024,4,2024,Debit
2024-04-03,Society Maintenance,2039.59,Bills & Rent,April 2024,4,2024,Debit
2024-04-03,Swiggy,127.77,Food & Dining,April 2024,4,2024,Debit
2024-04-03,Reliance Trends,743.37,Shopping,April 2024,4,2024,Debit
2024-04-03,Petrol Pump,111.1,Transport,April 2024,4,2024,Debit
2024-04-03,Ola,142.91,Transport,April 2024,4,2024,Debit
2024-04-03,Dr Reddy's,796.77,Health,April 2024,4,2024,Debit
2024-04-05,Meesho,918.02,Shopping,April 2024,4,2024,Debit
2024-04-05,Apollo Pharmacy,736.7,Health,April 2024,4,2024,Debit
2024-04-06,Auto Rickshaw,342.95,Transport,April 2024,4,2024,Debit
2024-04-07,MakeMyTrip,275.0,Transport,April 2024,4,2024,Debit
2024-04-07,Uber,122.71,Transport,April 2024,4,2024,Debit
2024-04-08,Uber,218.73,Transport,April 2024,4,2024,Debit
2024-04-09,MakeMyTrip,253.66,Transport,April 2024,4,2024,Debit
2024-04-11,Hotstar,372.27,Entertainment,April 2024,4,2024,Debit
2024-04-12,Swiggy,768.48,Food & Dining,April 2024,4,2024,Debit
2024-04-12,Ola,64.45,Transport,April 2024,4,2024,Debit
2024-04-13,Auto Rickshaw,100.29,Transport,April 2024,4,2024,Debit
2024-04-13,Gym Membership,240.63,Health,April 2024,4,2024,Debit
2024-04-13,Meesho,700.73,Shopping,April 2024,4,2024,Debit
2024-04-14,Ola,128.0,Transport,April 2024,4,2024,Debit
2024-04-15,Netflix,649.0,Entertainment,April 2024,4,2024,Debit
2024-04-15,IRCTC,276.46,Transport,April 2024,4,2024,Debit
2024-04-15,Gas Bill,3791.91,Bills & Rent,April 2024,4,2024,Debit
2024-04-17,Gas Bill,2630.32,Bills & Rent,April 2024,4,2024,Debit
2024-04-17,Swiggy,284.81,Food & Dining,April 2024,4,2024,Debit
2024-04-18,Yatra,73.73,Travel,April 2024,4,2024,Debit
2024-04-18,Medplus,57.98,Health,April 2024,4,2024,Debit
2024-04-18,IndiGo Airlines,1036.54,Travel,April 2024,4,2024,Debit
2024-04-18,Udemy,1005.41,Education,April 2024,4,2024,Debit
2024-04-19,Auto Rickshaw,368.4,Transport,April 2024,4,2024,Debit
2024-04-19,MakeMyTrip,343.21,Transport,April 2024,4,2024,Debit
2024-04-20,McDonald's,325.09,Food & Dining,April 2024,4,2024,Debit
2024-04-20,KFC,581.62,Food & Dining,April 2024,4,2024,Debit
2024-04-21,Medplus,1350.47,Health,April 2024,4,2024,Debit
2024-04-21,Auto Rickshaw,96.1,Transport,April 2024,4,2024,Debit
2024-04-21,Myntra,808.36,Shopping,April 2024,4,2024,Debit
2024-04-21,Lenskart,644.08,Entertainment,April 2024,4,2024,Debit
2024-04-22,Cafe Coffee Day,1000.8,Food & Dining,April 2024,4,2024,Debit
2024-04-22,IndiGo Airlines,3879.17,Travel,April 2024,4,2024,Debit
2024-04-25,D-Mart,626.53,Shopping,April 2024,4,2024,Debit
2024-04-26,MakeMyTrip,178.94,Transport,April 2024,4,2024,Debit
2024-04-26,McDonald's,186.36,Food & Dining,April 2024,4,2024,Debit
2024-04-26,IRCTC,10.0,Transport,April 2024,4,2024,Debit
2024-04-26,Amazon Prime,360.57,Entertainment,April 2024,4,2024,Debit
2024-04-27,Ola,204.46,Transport,April 2024,4,2024,Debit
2024-04-27,KFC,428.41,Food & Dining,April 2024,4,2024,Debit
2024-05-01,Bus Pass,266.11,Transport,May 2024,5,2024,Debit
2024-05-01,McDonald's,30.18,Food & Dining,May 2024,5,2024,Debit
2024-05-02,Petrol Pump,307.01,Transport,May 2024,5,2024,Debit
2024-05-02,Zomato,184.42,Food & Dining,May 2024,5,2024,Debit
2024-05-02,Petrol Pump,143.54,Transport,May 2024,5,2024,Debit
2024-05-03,Cafe Coffee Day,653.25,Food & Dining,May 2024,5,2024,Debit
2024-05-04,Uber,325.46,Transport,May 2024,5,2024,Debit
2024-05-04,Water Bill,2868.5,Bills & Rent,May 2024,5,2024,Debit
2024-05-04,Hotel Booking,6459.89,Travel,May 2024,5,2024,Debit
2024-05-04,D-Mart,687.21,Shopping,May 2024,5,2024,Debit
2024-05-05,Auto Rickshaw,112.41,Transport,May 2024,5,2024,Debit
2024-05-05,MakeMyTrip,179.26,Transport,May 2024,5,2024,Debit
2024-05-05,Subway,253.12,Food & Dining,May 2024,5,2024,Debit
2024-05-06,Bus Pass,243.03,Transport,May 2024,5,2024,Debit
2024-05-08,Blinkit,457.1,Food & Dining,May 2024,5,2024,Debit
2024-05-10,Zomato,412.49,Food & Dining,May 2024,5,2024,Debit
2024-05-10,Ajio,736.55,Shopping,May 2024,5,2024,Debit
2024-05-10,Hotel Booking,3484.05,Travel,May 2024,5,2024,Debit
2024-05-11,D-Mart,843.99,Shopping,May 2024,5,2024,Debit
2024-05-11,Rapido,228.37,Transport,May 2024,5,2024,Debit
2024-05-13,Cult.fit,456.72,Health,May 2024,5,2024,Debit
2024-05-13,Cafe Coffee Day,393.74,Food & Dining,May 2024,5,2024,Debit
2024-05-13,Swiggy,76.28,Food & Dining,May 2024,5,2024,Debit
2024-05-14,Spotify,203.87,Entertainment,May 2024,5,2024,Debit
2024-05-14,Spotify,463.12,Entertainment,May 2024,5,2024,Debit
2024-05-15,Amazon,805.06,Shopping,May 2024,5,2024,Debit
2024-05-15,Water Bill,1764.37,Bills & Rent,May 2024,5,2024,Debit
2024-05-15,Rapido,31.05,Transport,May 2024,5,2024,Debit
2024-05-15,Apollo Pharmacy,960.75,Health,May 2024,5,2024,Debit
2024-05-15,Rapido,375.43,Transport,May 2024,5,2024,Debit
2024-05-15,MakeMyTrip,484.71,Transport,May 2024,5,2024,Debit
2024-05-16,Auto Rickshaw,238.21,Transport,May 2024,5,2024,Debit
2024-05-17,MakeMyTrip,14.39,Transport,May 2024,5,2024,Debit
2024-05-17,H&M,777.02,Shopping,May 2024,5,2024,Debit
2024-05-17,JIO Boardband,2525.0,Bills & Rent,May 2024,5,2024,Debit
2024-05-17,Yoga Studio,580.88,Health,May 2024,5,2024,Debit
2024-05-18,Ajio,914.62,Shopping,May 2024,5,2024,Debit
2024-05-19,Petrol Pump,147.67,Transport,May 2024,5,2024,Debit
2024-05-19,Subway,287.4,Food & Dining,May 2024,5,2024,Debit
2024-05-20,Society Maintenance,2954.5,Bills & Rent,May 2024,5,2024,Debit
2024-05-20,Netflix,649.0,Entertainment,May 2024,5,2024,Debit
2024-05-20,Bus Pass,162.71,Transport,May 2024,5,2024,Debit
2024-05-20,Udemy,562.01,Education,May 2024,5,2024,Debit
2024-05-21,Auto Rickshaw,317.95,Transport,May 2024,5,2024,Debit
2024-05-22,Uber,117.85,Transport,May 2024,5,2024,Debit
2024-05-22,Flipkart,627.91,Shopping,May 2024,5,2024,Debit
2024-05-22,IndiGo Airlines,6546.25,Travel,May 2024,5,2024,Debit
2024-05-22,IRCTC,287.14,Transport,May 2024,5,2024,Debit
2024-05-23,Bus Pass,67.5,Transport,May 2024,5,2024,Debit
2024-05-23,Amazon Prime,845.18,Entertainment,May 2024,5,2024,Debit
2024-05-23,Apollo Pharmacy,525.24,Health,May 2024,5,2024,Debit
2024-05-24,YouTube Premium,500.05,Entertainment,May 2024,5,2024,Debit
2024-05-25,Ajio,792.48,Shopping,May 2024,5,2024,Debit
2024-05-26,Flipkart,873.93,Shopping,May 2024,5,2024,Debit
2024-05-26,Amazon,787.77,Shopping,May 2024,5,2024,Debit
2024-05-26,Book Store,31.85,Education,May 2024,5,2024,Debit
2024-05-27,Swiggy,620.77,Food & Dining,May 2024,5,2024,Debit
2024-05-31,Cafe Coffee Day,345.71,Food & Dining,May 2024,5,2024,Debit
2024-05-31,Society Maintenance,2696.16,Bills & Rent,May 2024,5,2024,Debit
2024-05-31,Hotstar,685.94,Entertainment,May 2024,5,2024,Debit
2024-06-01,Gas Bill,2368.54,Bills & Rent,June 2024,6,2024,Debit
2024-06-01,Rapido,425.2,Transport,June 2024,6,2024,Debit
2024-06-01,McDonald's,292.12,Food & Dining,June 2024,6,2024,Debit
2024-06-02,House Rent,1612.85,Bills & Rent,June 2024,6,2024,Debit
2024-06-02,Ajio,883.56,Shopping,June 2024,6,2024,Debit
2024-06-02,Petrol Pump,472.06,Transport,June 2024,6,2024,Debit
2024-06-02,Ola,162.17,Transport,June 2024,6,2024,Debit
2024-06-03,Amazon,924.19,Shopping,June 2024,6,2024,Debit
2024-06-03,Subway,98.23,Food & Dining,June 2024,6,2024,Debit
2024-06-03,Spotify,777.44,Entertainment,June 2024,6,2024,Debit
2024-06-03,Medplus,1142.26,Health,June 2024,6,2024,Debit
2024-06-03,KFC,531.57,Food & Dining,June 2024,6,2024,Debit
2024-06-04,Auto Rickshaw,131.1,Transport,June 2024,6,2024,Debit
2024-06-04,Rapido,112.25,Transport,June 2024,6,2024,Debit
2024-06-04,Flipkart,865.22,Shopping,June 2024,6,2024,Debit
2024-06-05,IRCTC,43.3,Transport,June 2024,6,2024,Debit
2024-06-05,Gym Membership,243.66,Health,June 2024,6,2024,Debit
2024-06-05,Subway,348.24,Food & Dining,June 2024,6,2024,Debit
2024-06-05,Gas Bill,2962.52,Bills & Rent,June 2024,6,2024,Debit
2024-06-06,D-Mart,898.99,Shopping,June 2024,6,2024,Debit
2024-06-06,Spotify,607.04,Entertainment,June 2024,6,2024,Debit
2024-06-07,Meesho,863.83,Shopping,June 2024,6,2024,Debit
2024-06-08,Uber,271.23,Transport,June 2024,6,2024,Debit
2024-06-08,Auto Rickshaw,93.2,Transport,June 2024,6,2024,Debit
2024-06-08,Blinkit,492.29,Food & Dining,June 2024,6,2024,Debit
2024-06-09,MakeMyTrip,107.76,Transport,June 2024,6,2024,Debit
2024-06-09,Gym Membership,102.14,Health,June 2024,6,2024,Debit
2024-06-09,IndiGo Airlines,3947.77,Travel,June 2024,6,2024,Debit
2024-06-09,Netflix,500.51,Entertainment,June 2024,6,2024,Debit
2024-06-10,McDonald's,384.79,Food & Dining,June 2024,6,2024,Debit
2024-06-11,Unacademy,219.05,Education,June 2024,6,2024,Debit
2024-06-11,Coursera,197.42,Education,June 2024,6,2024,Debit
2024-06-12,D-Mart,1005.12,Shopping,June 2024,6,2024,Debit
2024-06-12,IRCTC,374.35,Transport,June 2024,6,2024,Debit
2024-06-12,Cult.fit,947.84,Health,June 2024,6,2024,Debit
2024-06-12,NPTEL,760.35,Education,June 2024,6,2024,Debit
2024-06-12,Rapido,212.13,Transport,June 2024,6,2024,Debit
2024-06-13,Amazon,830.02,Shopping,June 2024,6,2024,Debit
2024-06-13,Bus Pass,143.19,Transport,June 2024,6,2024,Debit
2024-06-13,MakeMyTrip,257.26,Transport,June 2024,6,2024,Debit
2024-06-14,Hotstar,288.84,Entertainment,June 2024,6,2024,Debit
2024-06-15,Hotel Booking,4462.02,Travel,June 2024,6,2024,Debit
2024-06-16,Ola,234.18,Transport,June 2024,6,2024,Debit
2024-06-18,Subway,440.28,Food & Dining,June 2024,6,2024,Debit
2024-06-18,Zomato,457.78,Food & Dining,June 2024,6,2024,Debit
2024-06-19,Ola,124.97,Transport,June 2024,6,2024,Debit
2024-06-19,Uber,59.75,Transport,June 2024,6,2024,Debit
2024-06-20,Airtel,2641.37,Bills & Rent,June 2024,6,2024,Debit
2024-06-21,IRCTC,157.3,Transport,June 2024,6,2024,Debit
2024-06-21,BookmyShow,721.74,Entertainment,June 2024,6,2024,Debit
2024-06-21,Blinkit,226.58,Food & Dining,June 2024,6,2024,Debit
2024-06-22,Reliance Trends,896.69,Shopping,June 2024,6,2024,Debit
2024-06-22,Netflix,652.47,Entertainment,June 2024,6,2024,Debit
2024-06-23,Swiggy,65.83,Food & Dining,June 2024,6,2024,Debit
2024-06-23,Bus Pass,260.17,Transport,June 2024,6,2024,Debit
2024-06-24,ATM Withdrawl,20000.0,Shopping,June 2024,6,2024,Debit
2024-06-25,Cult.fit,290.48,Health,June 2024,6,2024,Debit
2024-06-25,Airbnb,2245.16,Travel,June 2024,6,2024,Debit
2024-06-30,Blinkit,361.14,Food & Dining,June 2024,6,2024,Debit
2024-06-30,Rapido,75.5,Transport,June 2024,6,2024,Debit
2024-06-30,Reliance Trends,640.82,Shopping,June 2024,6,2024,Debit
2024-07-01,Cult.fit,1055.66,Health,July 2024,7,2024,Debit
2024-07-02,Gas Bill,2988.32,Bills & Rent,July 2024,7,2024,Debit
2024-07-02,D-Mart,769.42,Shopping,July 2024,7,2024,Debit
2024-07-03,Reliance Trends,834.78,Shopping,July 2024,7,2024,Debit
2024-07-05,Zomato,92.01,Food & Dining,July 2024,7,2024,Debit
2024-07-05,Myntra,930.98,Shopping,July 2024,7,2024,Debit
2024-07-05,Cafe Coffee Day,44.05,Food & Dining,July 2024,7,2024,Debit
2024-07-07,H&M,712.6,Shopping,July 2024,7,2024,Debit
2024-07-07,Amazon,707.28,Shopping,July 2024,7,2024,Debit
2024-07-08,Coursera,76.09,Education,July 2024,7,2024,Debit
2024-07-09,Hotel Booking,4068.95,Travel,July 2024,7,2024,Debit
2024-07-09,Meesho,899.99,Shopping,July 2024,7,2024,Debit
2024-07-10,Domino's,444.34,Food & Dining,July 2024,7,2024,Debit
2024-07-12,MakeMyTrip,74.89,Transport,July 2024,7,2024,Debit
2024-07-14,Yoga Studio,10.0,Health,July 2024,7,2024,Debit
2024-07-14,JIO Boardband,2603.54,Bills & Rent,July 2024,7,2024,Debit
2024-07-14,Domino's,318.4,Food & Dining,July 2024,7,2024,Debit
2024-07-14,Cafe Coffee Day,568.84,Food & Dining,July 2024,7,2024,Debit
2024-07-14,House Rent,3077.67,Bills & Rent,July 2024,7,2024,Debit
2024-07-15,Petrol Pump,94.46,Transport,July 2024,7,2024,Debit
2024-07-15,Hotstar,164.9,Entertainment,July 2024,7,2024,Debit
2024-07-16,IRCTC,181.71,Transport,July 2024,7,2024,Debit
2024-07-16,Air India,3577.1,Travel,July 2024,7,2024,Debit
2024-07-16,Auto Rickshaw,315.56,Transport,July 2024,7,2024,Debit
2024-07-17,Ola,138.12,Transport,July 2024,7,2024,Debit
2024-07-17,Hotstar,481.53,Entertainment,July 2024,7,2024,Debit
2024-07-17,Amazon Prime,87.22,Entertainment,July 2024,7,2024,Debit
2024-07-18,Auto Rickshaw,192.77,Transport,July 2024,7,2024,Debit
2024-07-18,Uber,126.24,Transport,July 2024,7,2024,Debit
2024-07-19,YouTube Premium,129.73,Entertainment,July 2024,7,2024,Debit
2024-07-20,Uber,233.45,Transport,July 2024,7,2024,Debit
2024-07-20,Stationery Shop,563.31,Education,July 2024,7,2024,Debit
2024-07-21,Bus Pass,193.18,Transport,July 2024,7,2024,Debit
2024-07-21,Zomato,210.36,Food & Dining,July 2024,7,2024,Debit
2024-07-22,Swiggy,250.92,Food & Dining,July 2024,7,2024,Debit
2024-07-22,Ajio,858.24,Shopping,July 2024,7,2024,Debit
2024-07-22,Lenskart,553.98,Entertainment,July 2024,7,2024,Debit
2024-07-22,Stationery Shop,726.91,Education,July 2024,7,2024,Debit
2024-07-23,McDonald's,557.77,Food & Dining,July 2024,7,2024,Debit
2024-07-23,IndiGo Airlines,3306.57,Travel,July 2024,7,2024,Debit
2024-07-24,Myntra,715.46,Shopping,July 2024,7,2024,Debit
2024-07-24,Cafe Coffee Day,264.62,Food & Dining,July 2024,7,2024,Debit
2024-07-25,Swiggy,147.58,Food & Dining,July 2024,7,2024,Debit
2024-07-25,McDonald's,19.03,Food & Dining,July 2024,7,2024,Debit
2024-07-26,Swiggy,90.98,Food & Dining,July 2024,7,2024,Debit
2024-07-26,Bus Pass,13.44,Transport,July 2024,7,2024,Debit
